Date,AAPL,AMD,AMZN,CSCO,META,MSFT,NFLX,QCOM,SBUX,TSLA
01/12/2024,$185.92,$146.56,$154.62,$50.34,$374.49,$388.47,$492.16,$140.20,$91.98,$218.89
01/11/2024,$185.59,$148.02,$155.18,$50.44,$369.67,$384.63,$492.23,$139.03,$92.94,$227.22
01/10/2024,$186.19,$148.54,$153.73,$50.24,$370.47,$382.77,$478.33,$139.31,$93.50,$233.94
01/09/2024,$185.14,$149.26,$151.37,$49.91,$357.43,$375.79,$482.09,$139.89,$93.09,$234.96
01/08/2024,$185.56,$146.18,$149.10,$50.46,$358.66,$374.69,$485.03,$139.03,$94.19,$240.45
01/05/2024,$181.18,$138.58,$145.24,$50.09,$351.95,$367.75,$474.06,$136.73,$92.99,$237.49
01/04/2024,$181.91,$136.01,$144.57,$50.08,$347.12,$367.94,$474.67,$136.17,$93.55,$237.93
01/03/2024,$184.25,$135.32,$148.47,$50.51,$344.47,$370.60,$470.26,$137.60,$93.23,$238.45
01/02/2024,$185.64,$138.58,$149.93,$50.51,$346.29,$370.87,$468.50,$140.23,$93.67,$248.42
12/29/2023,$192.53,$147.41,$151.94,$50.52,$353.96,$376.04,$486.88,$144.63,$96.01,$248.48
12/28/2023,$193.58,$148.76,$153.38,$50.48,$358.32,$375.28,$490.51,$145.86,$95.93,$253.18
12/27/2023,$193.15,$146.07,$153.34,$50.44,$357.83,$374.07,$491.79,$145.72,$95.29,$261.44
12/26/2023,$193.05,$143.41,$153.41,$50.28,$354.83,$374.66,$491.19,$145.46,$95.67,$256.61
12/22/2023,$193.60,$139.60,$153.42,$50.09,$353.39,$374.58,$486.76,$143.49,$95.28,$252.54
12/21/2023,$194.68,$139.91,$153.84,$49.70,$354.09,$373.54,$491.61,$142.44,$95.33,$254.50
12/20/2023,$194.83,$135.47,$152.12,$49.80,$349.28,$370.62,$489.27,$140.44,$94.71,$247.14
12/19/2023,$196.94,$140.15,$153.79,$50.18,$350.36,$373.26,$495.02,$143.23,$97.72,$257.22
12/18/2023,$195.89,$138.90,$154.07,$50.24,$344.62,$372.65,$486.12,$141.65,$96.56,$252.08
12/15/2023,$197.57,$139.15,$149.97,$49.87,$334.92,$370.73,$472.06,$143.13,$96.75,$253.50
12/14/2023,$198.11,$138.00,$147.42,$49.44,$333.17,$365.93,$469.83,$141.50,$97.84,$251.05
12/13/2023,$197.96,$138.19,$148.84,$49.69,$334.74,$374.37,$479.98,$138.80,$98.11,$239.29
12/12/2023,$194.71,$137.61,$147.48,$49.33,$334.22,$374.38,$463.00,$136.68,$98.15,$237.01
12/11/2023,$193.18,$134.41,$145.89,$49.39,$325.28,$371.30,$459.89,$136.10,$98.12,$239.74
12/08/2023,$195.71,$128.92,$147.42,$48.38,$332.75,$374.23,$453.76,$132.97,$96.61,$243.84
12/07/2023,$194.27,$128.37,$146.88,$48.26,$326.59,$370.95,$452.00,$132.94,$96.44,$242.64
12/06/2023,$192.32,$116.82,$144.52,$47.70,$317.45,$368.80,$446.73,$129.96,$97.02,$239.37
12/05/2023,$193.42,$118.38,$146.88,$47.93,$318.29,$372.52,$455.15,$130.75,$95.54,$238.72
12/04/2023,$189.43,$118.57,$144.84,$48.05,$320.02,$369.14,$453.90,$129.95,$97.60,$235.58
